"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Mar 17 12:37:50 GMT+03:00 2025","Mon Mar 17 12:37:53 GMT+03:00 2025","2669","","SectionsOfConstructorTest","","SectionsOfConstructorTest","isDisplayedSectionFillingsTest","Проверка перехода к разделу ""Начинки""","Тест проверяет, что текст раздела ""Начинки"" находится в области видимости."
"passed","Mon Mar 17 12:38:00 GMT+03:00 2025","Mon Mar 17 12:38:02 GMT+03:00 2025","2085","","TransitionToConstructorTest","","TransitionToConstructorTest","checkingTransitionClickingOnLogo","Проверка перехода из личного кабинета в конструктор","Тест проверяет переход из личного кабинета в конструктор при нажатии на логотип Stellar Burgers в шапке сайта"
"passed","Mon Mar 17 12:37:47 GMT+03:00 2025","Mon Mar 17 12:37:50 GMT+03:00 2025","2739","","RegistrationTest","","RegistrationTest","errorWithLengthPassword5Test","Ошибка при регистрации при длине пароля 5 символов","Тест проверяет ошибку ""Некоректрный пароль"" при регистрации, когда в поле ""Пароль"" введено 5 символов"
"passed","Mon Mar 17 12:37:55 GMT+03:00 2025","Mon Mar 17 12:37:58 GMT+03:00 2025","3009","","SectionsOfConstructorTest","","SectionsOfConstructorTest","isDisplayedSectionBunsTest","Проверка перехода к разделу ""Булки""","Тест проверяет, что текст раздела ""Булки"" находится в области видимости."
"passed","Mon Mar 17 12:37:16 GMT+03:00 2025","Mon Mar 17 12:37:20 GMT+03:00 2025","4131","","CheckLoginTest","","CheckLoginTest","viaButtonInPasswordRecoveryFormTest","Проверка входа через кнопку ""Войти"" на странице восстановления пароля","Тест проверяет переход на форму входа при нажатии на кнопку ""Войти"" на странице восстановления пароля"
"passed","Mon Mar 17 12:37:28 GMT+03:00 2025","Mon Mar 17 12:37:34 GMT+03:00 2025","5655","","ExitFromPersonalAccountTest","","ExitFromPersonalAccountTest","exitFromPersonalAccountTest","Проверка выхода из личного кабинета","Тест проверяет выход из личного кабинета с предварительной авторизацией и переходом в личный кабинет"
"passed","Mon Mar 17 12:37:08 GMT+03:00 2025","Mon Mar 17 12:37:16 GMT+03:00 2025","8402","","CheckLoginTest","","CheckLoginTest","viaButtonLoginToAccountTest","Проверка входа через кнопку ""Войти в аккаунт""","Тест проверяет переход на форму входа со стартовой странице при нажатии на кнопку ""Войти в аккаунт"""
"passed","Mon Mar 17 12:37:36 GMT+03:00 2025","Mon Mar 17 12:37:40 GMT+03:00 2025","4164","","RegistrationTest","","RegistrationTest","successRegistrationWithLengthPassword6Test","Успешная регистрации при длине пароля 6 символов","Тест проверяет успешную регистрацию при вводе в поле ""Пароль"" 6 символов"
"passed","Mon Mar 17 12:37:44 GMT+03:00 2025","Mon Mar 17 12:37:47 GMT+03:00 2025","2704","","RegistrationTest","","RegistrationTest","errorWithLengthPassword4Test","Ошибка при регистрации при длине пароля 4 символа","Тест проверяет ошибку ""Некоректрный пароль"" при регистрации, когда в поле ""Пароль"" введено 4 символа"
"passed","Mon Mar 17 12:37:34 GMT+03:00 2025","Mon Mar 17 12:37:36 GMT+03:00 2025","2145","","PersonalAccountTest","","PersonalAccountTest","checkingTransitionClickingOnPersonalAccount","Проверка перехода в личный кабинет","Тест проверяет переход в личный кабинет при нажатии на кнопку ""Личный кабинет"" со стартовой странице"
"passed","Mon Mar 17 12:37:58 GMT+03:00 2025","Mon Mar 17 12:38:00 GMT+03:00 2025","2203","","TransitionToConstructorTest","","TransitionToConstructorTest","checkingTransitionClickingOnConstructor","Проверка перехода из личного кабинета в конструктор","Тест проверяет переход из личного кабинета в конструктор при нажатии на кнопку ""Конструктор"" в шапке сайта"
"passed","Mon Mar 17 12:37:40 GMT+03:00 2025","Mon Mar 17 12:37:44 GMT+03:00 2025","4102","","RegistrationTest","","RegistrationTest","successRegistrationWithLengthPassword7Test","Успешная регистрации при длине пароля 7 символов","Тест проверяет успешную регистрацию при вводе в поле ""Пароль"" 7 символов"
"passed","Mon Mar 17 12:37:53 GMT+03:00 2025","Mon Mar 17 12:37:55 GMT+03:00 2025","1991","","SectionsOfConstructorTest","","SectionsOfConstructorTest","isDisplayedSectionSaucesTest","Проверка перехода к разделу ""Соусы""","Тест проверяет, что текст раздела ""Соусы"" находится в области видимости."
"passed","Mon Mar 17 12:37:20 GMT+03:00 2025","Mon Mar 17 12:37:24 GMT+03:00 2025","4224","","CheckLoginTest","","CheckLoginTest","viaButtonInRegistrationFormTest","Проверка входа через кнопку ""Войти"" на странице регистрации","Тест проверяет переход на форму входа при нажатии на кнопку ""Войти"" на странице регистрации"
"passed","Mon Mar 17 12:37:24 GMT+03:00 2025","Mon Mar 17 12:37:28 GMT+03:00 2025","3819","","CheckLoginTest","","CheckLoginTest","viaButtonPersonalAccountTest","Проверка входа через кнопку ""Личный кабинет""","Тест проверяет переход на форму входа при нажатии на кнопку ""Личный кабинет"" в шапке сайта"
